"SiteID","wsArea","pctSili","pctBasa","pctGran","pctCarb","majGeol","elev"
598,5.26350000000001,0,0.0192094678258292,0.980790532174171,0,"granitic",595.922424316406
599,6.1324000000005,0,0.0166771968349438,0.983322803165056,0,"granitic",556.671569824219
600,6.49760000000002,0,0.0179727163597916,0.982027283640208,0,"granitic",517.513122558594
601,6.89110000000002,0,0.016946426814207,0.983053573185793,0,"granitic",480.056701660156
602,7.47070000000002,0,0.0156692958469323,0.984330704153068,0,"granitic",449.318389892578
603,7.69620000000002,0,0.0152101827504053,0.984789817249595,0,"granitic",415.076385498047
604,8.26200000000002,0,0.0141685558561691,0.985831444143831,0,"granitic",383.488891601562
605,8.50190000000002,0,0.0137687585696926,0.986231241430307,0,"granitic",340.697509765625
606,1.72729999999983,0.111631862659137,0.819075735584112,0.0692924017567511,0,"basaltic",561.41357421875
607,1.91299999999999,0.197868121469463,0.739565874581535,0.0625660039490014,0,"basaltic",517.866821289062
608,6.03589999999978,0.259539499344459,0.719399266300855,0.0210612343546858,0,"basaltic",475.335601806641
609,6.14460000000026,0.255907670511038,0.722740751424153,0.0213515780648085,0,"basaltic",460.165588378906
610,0.916699999999938,0,0.371568397023799,0.628431602976201,0,"granitic",680.044677734375
611,2.06170000000037,0,0.240503374047887,0.759496625952113,0,"granitic",669.397094726562
612,3.85689999999989,0,0.137565928797949,0.862434071202051,0,"granitic",645.562316894531
613,0.946499999999275,0,0.0337113316779275,0.966288668322072,0,"granitic",669.727172851562
614,1.13200000000037,0,0.137128141981247,0.862871858018753,0,"granitic",680.573974609375
615,0.704500000000735,0,0.00709366701719592,0.992906332982804,0,"granitic",429.238403320312
616,22.4557000000002,0,0.338369828750878,0.661630171249122,0,"granitic",397.480285644531
617,22.7457000000002,0,0.334831550770166,0.665168449229834,0,"granitic",376.775390625
618,23.2298000000002,0,0.327853791438281,0.672146208561719,0,"granitic",355.179992675781
619,23.5911000000002,0,0.322832678609856,0.677167321390144,0,"granitic",330.526306152344
620,24.2234000000002,0,0.314405822648881,0.685594177351119,0,"granitic",315.838500976562
621,24.9980000000002,0,0.304663493253597,0.695336506746403,0,"granitic",304.464202880859
622,25.2521000000002,0,0.30159780787948,0.69840219212052,0,"granitic",293.855712890625
623,1.10769999999971,0,1,0,0,"basaltic",804.553527832031
624,1.43739999999995,0,1,0,0,"basaltic",767.564697265625
625,2.29080000000002,0,0.99675452292344,0.00324547707656024,0,"basaltic",620.983093261719
626,3.05300000000002,0.0550244117886911,0.9425403642064,0.00243522400490872,0,"basaltic",571.809326171875
627,3.34000000000002,0.136224409937531,0.861549620335827,0.00222596972664224,0,"basaltic",529.638427734375
628,3.75400000000026,0.231483625250803,0.766535890229489,0.00198048451970822,0,"basaltic",497.036712646484
629,1.30580000000025,0,0.0154652201917566,0.984534779808243,0,"granitic",888.882995605469
630,1.71550000000049,0,0.0223303370726515,0.977669662927348,0,"granitic",817.474975585938
631,2.60040000000002,0,0.0239408503787024,0.976059149621297,0,"granitic",740.484375
632,3.20450000000002,0,0.0228930135972133,0.977106986402787,0,"granitic",685.96630859375
633,3.88470000000002,0,0.0220567905849729,0.977943209415027,0,"granitic",632.278015136719
634,0.726700000000015,0.959654414858895,0.0403455851411053,0,0,"siliciclastic",526.035278320312
635,10.4860000000006,0.230542432999475,0.769457567000525,0,0,"basaltic",502.619201660156
636,10.9739000000006,0.250605990882264,0.749394009117737,0,0,"basaltic",467.139801025391
637,11.3644000000006,0.254079982662272,0.745920017337728,0,0,"basaltic",449.155090332031
638,11.9459000000006,0.260293530363247,0.731901475177702,0.00780499445905109,0,"basaltic",434.560089111328
639,12.5679000000006,0.26707411528451,0.70472086820533,0.0282050165101604,0,"basaltic",419.976715087891
640,0.93610000000011,0.319347886557848,0.680652113442152,0,0,"basaltic",584.3994140625
641,0.982499999999915,0.311221576928719,0.68877842307128,0,0,"basaltic",557.687683105469
642,9.32590000000056,0.156517197191619,0.843482802808381,0,0,"basaltic",539.945922851562
643,9.46900000000056,0.163368096653543,0.836631903346457,0,0,"basaltic",524.414794921875
644,18.6144000000002,0,0.402964628419194,0.597035371580806,0,"granitic",519.616271972656
645,19.4372000000002,0,0.387751793057243,0.612248206942757,0,"granitic",502.010589599609
646,20.1623000000002,0,0.37520942938108,0.62479057061892,0,"granitic",480.646514892578
647,20.4930000000002,0,0.369154593178645,0.630845406821355,0,"granitic",465.037414550781
648,20.9087000000002,0,0.361815181145162,0.638184818854838,0,"granitic",451.145812988281
649,21.2360000000002,0,0.356238702110101,0.643761297889899,0,"granitic",428.931488037109
650,1.21639999999966,1,0,0,0,"siliciclastic",474.345306396484
651,0.811499999999863,0.11923160817007,0.88076839182993,0,0,"basaltic",584.485290527344
652,7.8823999999996,0.0986813931461756,0.901318606853824,0,0,"basaltic",557.767883300781
